#;$id;libellé SEDA 2;libellé anglais
;;klw;Lindu
;;lmz;Lumbee
;;tcu;Southeastern Tarahumara
;;ats;Gros Ventre
;;ngc;Ngombe (Democratic Republic of Congo)
;;pmx;Poumei Naga
;;kla;Klamath-Modoc
;;clm;Clallam
;;qvs;San Martín Quechua
;;jum;Jumjum
;;miq;Mískito
;;lmq;Lamatuka
;;pcb;Pear
;;swm;Samosa
;;ron;Romanian
;;hpo;Hpon
;;tnc;Tanimuca-Retuarã
;;kmw;Komo (Democratic Republic of Congo)
;;tsd;Tsakonian
;;osu;Southern One
;;nrz;Lala
;;ssn;Waata
;;eja;Ejamat
;;atj;Atikamekw
;;yuu;Yugh
;;frq;Forak
;;bif;Biafada
;;ylm;Limi
;;ngy;Tibea
;;wra;Warapu
;;kgb;Kawe
;;ota;Ottoman Turkish (1500-1928)
;;oos;Old Ossetic
;;liy;Banda-Bambari
;;xal;Kalmyk
;;kbb;Kaxuiâna
;;mxv;Metlatónoc Mixtec
;;gei;Gebe
;;avb;Avau
;;xsy;Saisiyat
;;tpo;Tai Pao
;;mkq;Bay Miwok
;;nju;Ngadjunmaya
;;lut;Lushootseed
;;tiu;Adasen
;;koo;Konzo
;;adg;Andegerebinha
;;muq;Eastern Xiangxi Miao
;;kdt;Kuy
;;bdk;Budukh
;;mph;Maung
;;ran;Riantana
;;wne;Waneci
;;bux;Boghom
;;mgs;Manda (Tanzania)
;;pci;Duruwa
;;byg;Baygo
;;kul;Kulere
;;bha;Bharia
;;siu;Sinagen
;;qwh;Huaylas Ancash Quechua
;;khk;Halh Mongolian
;;wrx;Wae Rana
;;tuh;Taulil
;;dmo;Kemezung
;;twy;Tawoyan
;;rri;Ririo
;;onj;Onjob
;;yah;Yazgulyam
;;acs;Acroá
;;msu;Musom
;;rwa;Rawo
;;bwd;Bwaidoka
;;bmi;Bagirmi
;;bsf;Bauchi
;;tdi;Tomadino
;;prs;Dari
;;mzc;Madagascar Sign Language
;;awh;Awbono
;;plk;Kohistani Shina
;;ktv;Eastern Katu
;;yso;Nisi (China)
;;ybh;Yakha
;;qwm;Kuman (Russia)
;;kvh;Komodo
;;bhg;Binandere
;;nar;Iguta
;;blc;Bella Coola
;;ldl;Kaan
;;tlt;Teluti
;;peg;Pengo
;;nli;Grangali
;;waz;Wampur
;;vut;Vute
;;sxw;Saxwe Gbe
;;rjg;Rajong
;;zeg;Zenag
;;mpl;Middle Watut
;;mgl;Maleu-Kilenge
;;mmd;Maonan
;;kbq;Kamano
;;tna;Tacana
;;omn;Minoan
;;bpz;Bilba
;;uha;Uhami
;;xet;Xetá
;;slh;Southern Puget Sound Salish
;;gup;Gunwinggu
;;jow;Jowulu
;;apg;Ampanang
;;mbs;Sarangani Manobo
;;kxk;Zayein Karen
;;pel;Pekal
;;mvy;Indus Kohistani
;;yra;Yerakai
;;sdj;Suundi
;;mza;Santa María Zacatepec Mixtec
;;kpz;Kupsabiny
;;ybd;Yangbye
;;kfr;Kachchi
;;gqa;Ga'anda
;;win;Ho-Chunk
;;azg;San Pedro Amuzgos Amuzgo
;;ayk;Akuku
;;xks;Kumbewaha
;;sng;Sanga (Democratic Republic of Congo)
;;asj;Nsari
;;snn;Siona
;;nmx;Nama (Papua New Guinea)
;;afr;Afrikaans
;;ide;Idere
;;ctz;Zacatepec Chatino
;;bzj;Belize Kriol English
;;snv;Sa'ban
;;kyj;Karao
;;tzm;Central Atlas Tamazight
;;sac;Meskwaki
;;ibm;Agoi
;;xkh;Karahawyana
;;obi;Obispeño
;;lgq;Logba
;;lec;Leco
;;qug;Chimborazo Highland Quichua
;;wut;Wutung
;;ntz;Natanzi
;;gwg;Moo
;;scu;Shumcho
;;lol;Mongo
;;alp;Alune
;;hed;Herdé
;;ayt;Magbukun Ayta
;;msy;Aruamu
;;axb;Abipon
;;los;Loniu
;;dhm;Zemba
;;tyv;Tuvinian
;;etz;Semimi
;;csa;Chiltepec Chinantec
;;urg;Urigina
;;bnz;Beezen
;;oav;Old Avar
;;bns;Bundeli
;;qxa;Chiquián Ancash Quechua
;;faj;Faita
;;mvm;Muya
;;hmb;Humburi Senni Songhay
;;sbp;Sangu (Tanzania)
;;kfa;Kodava
;;bvi;Belanda Viri
;;tbz;Ditammari
;;ztg;Xanaguía Zapotec
;;akf;Akpa
;;shr;Shi
;;njn;Liangmai Naga
;;twc;Teshenawa
;;srg;Sulod
;;mrk;Hmwaveke
;;saq;Samburu
;;lmg;Lamogai
;;pil;Yom
;;urn;Uruangnirin
;;zun;Zuni
;;esm;Esuma
;;aok;Arhö
;;zkb;Koibal
;;cnk;Khumi Chin
;;and;Ansus
;;maz;Central Mazahua
;;kjs;East Kewa
;;cua;Cua
;;nfd;Ahwai
;;hov;Hovongan
;;osi;Osing
;;wem;Weme Gbe
;;biq;Bipi
;;kqg;Khe
;;nhy;Northern Oaxaca Nahuatl
;;ngr;Nanggu
;;vmz;Mazatlán Mazatec
;;yds;Yiddish Sign Language
;;knp;Kwanja
;;sci;Sri Lankan Creole Malay
;;cwb;Maindo
;;eee;E
;;buq;Brem
;;slw;Sialum
;;kgp;Kaingang
;;omg;Omagua
;;kip;Sheshi Kham
;;nzs;New Zealand Sign Language
;;nbl;South Ndebele
;;har;Harari
;;boi;Barbareño
;;hro;Haroi
;;nbb;Ndoe
;;jel;Yelmek
;;qun;Quinault
;;lum;Luimbi
;;hob;Mari (Madang Province)
;;krt;Tumari Kanuri
;;xut;Kuthant
;;wad;Wandamen
;;rnn;Roon
;;kzr;Karang
;;etc;Etchemin
;;tap;Taabwa
;;seb;Shempire Senoufo
;;mym;Me'en
;;gvr;Western Gurung
;;kib;Koalib
;;doc;Northern Dong
;;tct;T'en
;;ces;Czech
;;apj;Jicarilla Apache
;;zhi;Zhire
;;tpw;Tupí
;;lha;Laha (Viet Nam)
;;kqe;Kalagan
;;puc;Punan Merap
;;cnt;Tepetotutla Chinantec
;;djl;Djiwarli
;;ney;Neyo
;;mzx;Mawayana
;;gmv;Gamo
;;kht;Khamti
;;jic;Tol
;;uar;Tairuma
;;phh;Phukha
;;saj;Sahu
;;plb;Polonombauk
;;unx;Munda
;;bjj;Kanauji
;;dao;Daai Chin
;;bbf;Baibai
;;vam;Vanimo
;;urw;Sop
;;mdx;Dizin
;;gaj;Gadsup
;;rug;Roviana
;;cad;Caddo
;;bpd;Banda-Banda
;;ybx;Yawiyo
;;kaj;Jju
;;ilo;Iloko
;;knf;Mankanya
;;wbr;Wagdi
;;tdt;Tetun Dili
;;sth;Shelta
;;cbt;Chayahuita
;;aaw;Solong
;;zmg;Marti Ke
;;tof;Gizrra
;;sgd;Surigaonon
;;tuv;Turkana
;;tno;Toromono
;;twl;Tawara
;;bfi;British Sign Language
;;nhu;Noone
;;iru;Irula
;;bdf;Biage
;;mzq;Mori Atas
;;lsd;Lishana Deni
;;vis;Vishavan
;;sqt;Soqotri
;;omk;Omok
;;ptu;Bambam
;;pmi;Northern Pumi
;;kcc;Lubila
;;tus;Tuscarora
;;vum;Vumbu
;;grq;Gorovu
;;aqc;Archi
;;acl;Akar-Bale
;;lep;Lepcha
;;tnx;Tanema
;;grc;Ancient Greek (to 1453)
;;mfr;Marithiel
;;lhh;Laha (Indonesia)
;;dhv;Dehu
;;mfy;Mayo
;;nqm;Ndom
;;bel;Belarusian
;;bal;Baluchi
;;tpf;Tarpia
;;dbm;Duguri
;;kci;Kamantan
;;bvb;Bube
;;lkb;Kabras
;;wll;Wali (Sudan)
;;nxi;Nindi
;;lmp;Limbum
;;lav;Latvian
;;thk;Tharaka
;;hra;Hrangkhol
;;ims;Marsian
;;nco;Sibe
;;laz;Aribwatsa
;;kke;Kakabe
;;mrr;Maria (India)
;;lso;Laos Sign Language
;;abu;Abure
;;set;Sentani
;;kya;Kwaya
;;kje;Kisar
;;kcn;Nubi
;;trn;Trinitario
;;jig;Djingili
;;hld;Halang Doan
;;job;Joba
;;dme;Dugwor
;;pis;Pijin
;;psi;Southeast Pashayi
;;pbp;Badyara
;;vie;Vietnamese
;;syn;Senaya
;;ike;Eastern Canadian Inuktitut
;;yzg;E'ma Buyang
;;tvm;Tela-Masbuar
;;met;Mato
;;pby;Pyu
;;tru;Turoyo
;;ora;Oroha
;;ctg;Chittagonian
;;hik;Seit-Kaitetu
;;pkn;Pakanha
;;ors;Orang Seletar
;;bjy;Bayali
;;cak;Kaqchikel
;;zgr;Magori
;;kpq;Korupun-Sela
;;rbb;Rumai Palaung
;;cfm;Falam Chin
;;wsi;Wusi
;;taj;Eastern Tamang
;;ute;Ute-Southern Paiute
;;nno;Norwegian Nynorsk
;;amh;Amharic
;;ccc;Chamicuro
;;mlr;Vame
;;hun;Hungarian
;;aye;Ayere
;;thv;Tahaggart Tamahaq
;;grd;Guruntum-Mbaaru
;;sko;Seko Tengah
;;rob;Tae'
;;mln;Malango
;;elh;El Hugeirat
;;auj;Awjilah
;;chn;Chinook jargon
;;zac;Ocotlán Zapotec
;;pdu;Kayan
;;cfa;Dijim-Bwilim
;;mdm;Mayogo
;;ccl;Cutchi-Swahili
;;bdd;Bunama
;;mmp;Siawi
;;pey;Petjo
;;trj;Toram
;;lid;Nyindrou
;;bqs;Bosngun
;;vbb;Southeast Babar
;;aer;Eastern Arrernte
;;mpc;Mangarayi
;;ata;Pele-Ata
;;rbl;Miraya Bikol
;;lik;Lika
;;ifb;Batad Ifugao
;;rmd;Traveller Danish
;;ila;Ile Ape
;;nyh;Nyigina
;;mby;Memoni
;;gor;Gorontalo
;;nyv;Nyulnyul
;;ndj;Ndamba
;;bgm;Baga Mboteni
;;ava;Avaric
;;zmd;Maridan
;;wob;Wè Northern
;;ppu;Papora
;;xrw;Karawa
;;spc;Sapé
;;gha;Ghadamès
;;tlq;Tai Loi
;;srl;Isirawa
;;llq;Lolak
;;dug;Duruma
;;okx;Okpe (Northwestern Edo)
;;xbr;Kambera
;;ahi;Tiagbamrin Aizi
;;ghc;Hiberno-Scottish Gaelic
;;bkm;Kom (Cameroon)
;;bjx;Banao Itneg
;;bxm;Mongolia Buriat
;;pgg;Pangwali
;;srz;Shahmirzadi
;;lnu;Longuda
;;mqq;Minokok
;;bjs;Bajan
;;brq;Breri
;;ttd;Tauade
;;nty;Mantsi
;;aca;Achagua
;;hba;Hamba
;;hmf;Hmong Don
;;gix;Gilima
;;brw;Bellari
;;mmc;Michoacán Mazahua
;;yaq;Yaqui
;;nmi;Nyam
;;pug;Phuie
;;ays;Sorsogon Ayta
;;tcs;Torres Strait Creole
;;bsy;Sabah Bisaya
;;wdd;Wandji
;;txm;Tomini
;;pks;Pakistan Sign Language
;;msd;Yucatec Maya Sign Language
;;siv;Sumariup
;;hae;Eastern Oromo
;;zim;Mesme
;;sih;Zire
;;ajt;Judeo-Tunisian Arabic
;;bwk;Bauwaki
;;leq;Lembena
;;pho;Phunoi
;;sow;Sowanda
;;tkz;Takua
;;nnw;Southern Nuni
;;poo;Central Pomo
;;bsc;Bassari
;;tbh;Thurawal
;;mcr;Menya
;;btm;Batak Mandailing
;;hts;Hadza
;;qvm;Margos-Yarowilca-Lauricocha Quechua
;;nnx;Ngong
;;wss;Wasa
;;ssw;Swati
;;wet;Perai
;;asu;Tocantins Asurini
;;bfn;Bunak
;;mre;Martha's Vineyard Sign Language
;;dux;Duungooma
;;aks;Akaselem
;;xdy;Malayic Dayak
;;izi;Izi-Ezaa-Ikwo-Mgbo
;;tke;Takwane
;;xin;Xinca
;;xae;Aequian
;;piv;Pileni
;;cbi;Chachi
;;cor;Cornish
;;dne;Ndendeule
;;bfb;Pauri Bareli
;;yol;Yola
;;gia;Kitja
;;mci;Mese
;;seh;Sena
;;xop;Kopar
;;nsa;Sangtam Naga
;;ynu;Yahuna
;;apd;Sudanese Arabic
;;vem;Vemgo-Mabas
;;mbk;Malol
;;kqt;Klias River Kadazan
;;mcw;Mawa (Chad)
;;xoi;Kominimung
;;oda;Odut
;;nkg;Nekgini
;;mjn;Ma (Papua New Guinea)
;;gvy;Guyani
;;cku;Koasati
;;njy;Njyem
;;jay;Yan-nhangu
;;woe;Woleaian
;;ymd;Muda
;;nex;Neme
;;ben;Bengali
;;zax;Xadani Zapotec
;;brj;Bieria
;;nxl;South Nuaulu
;;lkl;Laeko-Libuat
;;orh;Oroqen
;;djc;Dar Daju Daju
;;aix;Aighon
;;ymi;Moji
;;bfw;Bondo
;;kpr;Korafe-Yegha
;;blb;Bilua
;;hvn;Sabu
;;nat;Hungworo
;;zmm;Marimanindji
;;srt;Sauri
;;pnh;Penrhyn
;;nif;Nek
;;dju;Kapriman
;;ynl;Yangulam
;;xtr;Early Tripuri
;;skk;Sok
;;psw;Port Sandwich
;;boy;Bodo (Central African Republic)
;;mdf;Moksha
;;kof;Kubi
;;hub;Huambisa
;;mcd;Sharanahua
;;fod;Foodo
;;mab;Yutanduchi Mixtec
;;esl;Egypt Sign Language
;;kxv;Kuvi
;;kml;Lower Tanudan Kalinga
;;ljl;Li'o
;;mka;Mbre
;;phw;Phangduwali
;;stb;Northern Subanen
;;gcf;Guadeloupean Creole French
;;bav;Vengo
;;ahb;Axamb
;;xcb;Cumbric
;;xua;Alu Kurumba
;;num;Niuafo'ou
;;crb;Island Carib
;;xes;Kesawai
;;sjo;Xibe
;;kqw;Kandas
;;llh;Lamu
;;mio;Pinotepa Nacional Mixtec
;;dta;Daur
;;kwf;Kwara'ae
;;mei;Midob
;;xwe;Xwela Gbe
;;bqb;Bagusa
;;gug;Paraguayan Guaraní
;;btv;Bateri
;;bon;Bine
;;szg;Sengele
;;abn;Abua
;;avn;Avatime
;;uwa;Kuku-Uwanh
;;mxe;Mele-Fila
;;gar;Galeya
;;bjc;Bariji
;;bgd;Rathwi Bareli
;;xla;Kamula
;;slv;Slovenian
;;hot;Hote
;;anr;Andh
;;jrb;Judeo-Arabic
;;diw;Northwestern Dinka
;;ags;Esimbi
;;kkl;Kosarek Yale
;;gyi;Gyele
;;smu;Somray
;;kjl;Western Parbate Kham
;;xum;Umbrian
;;aor;Aore
;;omc;Mochica
;;ykr;Yekora
;;ygr;Yagaria
;;xmu;Kamu
;;kay;Kamayurá
;;gom;Goan Konkani
;;bzv;Bebe
;;hbs;Serbo-Croatian
;;sug;Suganga
;;dgo;Dogri (individual language)
;;dad;Marik
;;cpu;Pichis Ashéninka
;;zln;Lianshan Zhuang
;;ipk;Inupiaq
;;anz;Anem
;;nik;Southern Nicobarese
;;nyk;Nyaneka
;;mat;San Francisco Matlatzinca
;;nuh;Ndunda
;;aii;Assyrian Neo-Aramaic
;;mga;Middle Irish (900-1200)
;;daa;Dangaléat
;;age;Angal
;;bms;Bilma Kanuri
;;kwk;Kwakiutl
;;isc;Isconahua
;;smg;Simbali
;;arq;Algerian Arabic
;;aaa;Ghotuo
;;rkb;Rikbaktsa
;;myl;Moma
;;quq;Quinqui
;;rol;Romblomanon
;;tpx;Acatepec Me'phaa
;;tlf;Telefol
;;ksl;Kumalu
;;alu;'Are'are
;;wmo;Wom (Papua New Guinea)
;;inn;Isinai
;;hug;Huachipaeri
;;mkj;Mokilese
;;gbm;Garhwali
;;asg;Cishingini
;;fcs;Quebec Sign Language
;;agn;Agutaynen
;;van;Valman
;;kne;Kankanaey
;;zbc;Central Berawan
;;som;Somali
;;nwy;Nottoway-Meherrin
;;cok;Santa Teresa Cora
;;key;Kupia
;;cjs;Shor
;;dix;Dixon Reef
;;rus;Russian
;;nkk;Nokuku
;;nhg;Tetelcingo Nahuatl
;;cax;Chiquitano
;;avu;Avokaya
;;tex;Tennet
;;mnw;Mon
;;gct;Colonia Tovar German
;;zam;Miahuatlán Zapotec
;;xka;Kalkoti
;;lkc;Kucong
;;bna;Bonerate
;;tdj;Tajio
;;tak;Tala
;;lbo;Laven
;;dev;Domung
;;bdm;Buduma
;;byh;Bhujel
;;tad;Tause
;;deq;Dendi (Central African Republic)
;;wol;Wolof
;;mbf;Baba Malay
;;gvj;Guajá
;;qxr;Cañar Highland Quichua
;;rhp;Yahang
;;zpn;Santa Inés Yatzechi Zapotec
;;swp;Suau
;;bss;Akoose
;;puf;Punan Merah
;;mfe;Morisyen
;;ldk;Leelau
;;bxf;Bilur
;;brc;Berbice Creole Dutch
;;orr;Oruma
;;zps;Coatlán Zapotec
;;skd;Southern Sierra Miwok
;;css;Southern Ohlone
;;pat;Papitalai
;;ibn;Ibino
;;gas;Adiwasi Garasia
;;glk;Gilaki
;;knl;Keninjal
;;ndf;Nadruvian
;;kgh;Upper Tanudan Kalinga
;;djd;Djamindjung
;;mnh;Mono (Democratic Republic of Congo)
;;mjv;Mannan
;;mtt;Mota
;;dmc;Dimir
;;tkq;Tee
;;nsp;Nepalese Sign Language
;;ank;Goemai
;;ndy;Lutos
;;ded;Dedua
;;vkt;Tenggarong Kutai Malay
;;pof;Poke
;;mhk;Mungaka
;;jau;Yaur
;;tiv;Tiv
;;cam;Cemuhî
;;xsh;Shamang
;;lby;Lamu-Lamu
;;mvb;Mattole
;;rmm;Roma
;;vmm;Mitlatongo Mixtec
;;vai;Vai
;;usk;Usaghade
;;vrs;Varisi
;;mto;Totontepec Mixe
;;jud;Worodougou
;;dos;Dogosé
;;hmm;Central Mashan Hmong
;;kyr;Kuruáya
;;azj;North Azerbaijani
;;zkt;Kitan
;;ylb;Yaleba
;;swb;Maore Comorian
;;gno;Northern Gondi
;;crm;Moose Cree
;;mnq;Minriq
;;yad;Yagua
;;smn;Inari Sami
;;bvy;Baybayanon
;;szn;Sula
;;yer;Tarok
;;huv;San Mateo Del Mar Huave
;;iko;Olulumo-Ikom
;;rms;Romanian Sign Language
;;tef;Teressa
;;pot;Potawatomi
;;dva;Duau
;;ojg;Eastern Ojibwa
;;snw;Selee
;;mhr;Eastern Mari
;;knw;Kung-Ekoka
;;kma;Konni
;;xgl;Galindan
;;tem;Timne
;;ntm;Nateni
;;kec;Keiga
;;bzm;Bolondo
;;tkl;Tokelau
;;dun;Dusun Deyah
;;bmv;Bum
;;bbw;Baba
;;wmx;Womo
;;okj;Oko-Juwoi
;;hhi;Hoia Hoia
;;byo;Biyo
;;kvu;Yinbaw Karen
;;igo;Isebe
;;drt;Drents
;;gma;Gambera
;;nix;Hema
;;ksr;Borong
;;wum;Wumbvu
;;xsa;Sabaean
;;bpm;Biyom
;;mub;Mubi
;;dge;Degenan
;;yrs;Yarsun
;;ime;Imeraguen
;;dsh;Daasanach
;;bsl;Basa-Gumna
;;lwg;Wanga
;;nbr;Numana-Nunku-Gbantu-Numbu
;;fud;East Futuna
;;wbi;Vwanji
;;bqk;Banda-Mbrès
;;shm;Shahrudi
;;ofo;Ofo
;;ncb;Central Nicobarese
;;bbq;Bamali
;;ymq;Qila Muji
;;tye;Kyenga
;;kyy;Kambaira
;;mje;Muskum
;;kur;Kurdish
;;mfn;Cross River Mbembe
;;afi;Akrukay
;;kdf;Mamusi
;;xac;Kachari
;;kxe;Kakihum
;;ekg;Ekari
;;kln;Kalenjin
;;dnw;Western Dani
;;plt;Plateau Malagasy
;;drc;Minderico
;;yun;Bena (Nigeria)
;;kxo;Kanoé
;;lir;Liberian English
;;ohu;Old Hungarian
;;jbe;Judeo-Berber
;;csl;Chinese Sign Language
;;xao;Khao
;;nsg;Ngasa
;;kdn;Kunda
;;cje;Chru
;;zwa;Zay
;;kwp;Kodia
;;ykm;Kap
;;ptw;Pentlatch
;;xbm;Middle Breton
;;tmo;Temoq
;;kej;Kadar
;;rei;Reli
;;kvp;Kompane
;;sbg;Seget
;;dlm;Dalmatian
;;rog;Northern Roglai
;;aih;Ai-Cham
;;nxa;Nauete
;;jiu;Youle Jinuo
;;kbe;Kanju
;;zpi;Santa María Quiegolani Zapotec
;;fie;Fyer
;;erg;Sie
;;tsq;Thai Sign Language
;;odu;Odual
;;rac;Rasawa
;;bcp;Bali (Democratic Republic of Congo)
;;ztx;Zaachila Zapotec
;;zia;Zia
;;bcw;Bana
;;npo;Pochuri Naga
;;aey;Amele
;;mta;Cotabato Manobo
;;mtd;Mualang
;;kms;Kamasau
;;nkv;Nyika (Malawi and Zambia)
;;frt;Fortsenal
;;vol;Volapük
;;gso;Southwest Gbaya
;;dmv;Dumpas
;;sea;Semai
;;nrm;Narom
;;ipo;Ipiko
;;kbp;Kabiyè
;;akj;Aka-Jeru
;;kth;Karanga
;;mak;Makasar
;;tay;Atayal
;;noj;Nonuya
;;bnu;Bentong
;;ycl;Lolopo
;;tgo;Sudest
;;kbi;Kaptiau
;;xhd;Hadrami
;;otn;Tenango Otomi
;;fom;Foma
;;bgz;Banggai
;;ssh;Shihhi Arabic
;;geb;Kire
;;duq;Dusun Malang
;;onr;Northern One
;;kfx;Kullu Pahari
;;lcl;Lisela
;;kcv;Kete
;;xml;Malaysian Sign Language
;;nej;Neko
;;myb;Mbay
;;brp;Barapasi
;;ymt;Mator-Taygi-Karagas
;;aqn;Northern Alta
;;cuh;Chuka
;;crx;Carrier
;;ogc;Ogbah
;;zaf;Ayoquesco Zapotec
;;mow;Moi (Congo)
;;sps;Saposa
;;nhb;Beng
;;bij;Vaghat-Ya-Bijim-Legeri
;;ngd;Ngando (Central African Republic)
;;npa;Nar Phu
;;din;Dinka
;;njx;Kunyi
;;xow;Kowaki
;;noc;Nuk
;;pre;Principense
;;gho;Ghomara
;;ddo;Dido
;;ane;Xârâcùù
;;mox;Molima
;;oty;Old Tamil
;;mwn;Nyamwanga
;;gub;Guajajára
;;tog;Tonga (Nyasa)
;;moi;Mboi
;;meb;Ikobi-Mena
;;bgq;Bagri
;;ssq;So'a
;;jer;Jere
;;szv;Isu (Fako Division)
;;bbg;Barama
;;ttr;Tera
;;tca;Ticuna
;;lbk;Central Bontok
;;keq;Kamar
;;nek;Neku
;;ibe;Akpes
;;mqx;Mamuju
;;gux;Gourmanchéma
;;kvw;Wersing
;;rav;Sampang
;;noa;Woun Meu
;;crt;Iyojwa'ja Chorote
;;xto;Tokharian A
;;mnb;Muna
;;lli;Teke-Laali
;;tpg;Kula
;;ruu;Lanas Lobu
;;bmj;Bote-Majhi
;;lgi;Lengilu
;;hiw;Hiw
;;elu;Elu
;;fwa;Fwâi
;;yac;Pass Valley Yali
;;mup;Malvi
;;fat;Fanti
;;zmv;Mbariman-Gudhinma
;;yab;Yuhup
;;bwe;Bwe Karen
;;god;Godié
;;mxn;Moi (Indonesia)
;;njb;Nocte Naga
;;wnd;Wandarang
;;mpi;Mpade
;;sgw;Sebat Bet Gurage
;;tao;Yami
;;kgj;Gamale Kham
;;bse;Wushi
;;syo;Suoy
;;nnc;Nancere
;;kiv;Kimbu
;;njm;Angami Naga
;;meq;Merey
;;mpm;Yosondúa Mixtec
;;juo;Jiba
;;kpy;Koryak
;;tov;Upper Taromi
;;snh;Shinabo
;;ayg;Ginyanga
;;she;Sheko
;;adh;Adhola
;;alx;Amol
;;xeu;Keoru-Ahia
;;kdu;Kadaru
;;pmc;Palumata
;;ada;Adangme
;;mgt;Mongol
;;khj;Kuturmi
;;bok;Bonjo
;;xay;Kayan Mahakam
;;act;Achterhoeks
;;brk;Birked
;;tug;Tunia
;;kbr;Kafa
;;mpr;Vangunu
;;ktu;Kituba (Democratic Republic of Congo)
;;pau;Palauan
;;bhh;Bukharic
;;eyo;Keiyo
;;bhs;Buwal
;;biy;Birhor
;;bzi;Bisu
;;amx;Anmatyerre
;;xmn;Manichaean Middle Persian
;;luu;Lumba-Yakkha
;;cts;Northern Catanduanes Bicolano
;;txx;Tatana
;;roo;Rotokas
;;pla;Miani
;;wry;Merwari
;;way;Wayana
;;qxt;Santa Ana de Tusi Pasco Quechua
;;mrg;Mising
;;lnd;Lundayeh
;;bkx;Baikeno
;;awi;Aekyom
;;quf;Lambayeque Quechua
;;ung;Ngarinyin
;;yif;Ache
;;sno;Snohomish
;;mzb;Tumzabt
;;lww;Lewo
;;sdk;Sos Kundi
;;dbi;Doka
;;pne;Western Penan
;;lkj;Remun
;;gbr;Gbagyi
;;drb;Dair
;;awm;Arawum
;;ibu;Ibu
;;ekp;Ekpeye
;;msx;Moresada
;;cni;Asháninka
;;smh;Samei
;;slg;Selungai Murut
;;sln;Salinan
;;nmw;Nimoa
;;zsa;Sarasira
;;mnk;Mandinka
;;yrb;Yareba
;;tnb;Western Tunebo
;;mle;Manambu
;;hoj;Hadothi
;;dnn;Dzùùngoo
;;bes;Besme
;;san;Sanskrit
;;caf;Southern Carrier
;;ccd;Cafundo Creole
;;mwo;Central Maewo
;;lgr;Lengo
;;mlf;Mal
;;ino;Inoke-Yate
;;icr;Islander Creole English
;;apf;Pahanan Agta
;;uro;Ura (Papua New Guinea)
;;smo;Samoan
;;sig;Paasaal
;;ccr;Cacaopera
;;bhb;Bhili
;;wtf;Watiwa
;;lwe;Lewo Eleng
;;ylu;Aribwaung
;;dhl;Dhalandji
;;ibl;Ibaloi
;;tpp;Pisaflores Tepehua
;;qve;Eastern Apurímac Quechua
;;pnx;Phong-Kniang
;;wri;Wariyangga
;;ukl;Ukrainian Sign Language
;;tlc;Yecuatla Totonac
;;kfi;Kannada Kurumba
;;btg;Gagnoa Bété
;;bqp;Busa
;;kty;Kango (Bas-Uélé District)
;;khc;Tukang Besi North
;;kyi;Kiput
;;jav;Javanese
;;tst;Tondi Songway Kiini
;;ttb;Gaa
;;ifu;Mayoyao Ifugao
;;mzi;Ixcatlán Mazatec
;;pmy;Papuan Malay
;;oog;Ong
;;trp;Kok Borok
;;anc;Ngas
;;nnv;Nugunu (Australia)
;;kku;Tumi
;;kfc;Konda-Dora
;;cid;Chimariko
;;pbe;Mezontla Popoloca
;;msf;Mekwei
